DATEPRD,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,TOTAL_LIQUID,ACTIVE_WELLS,isolation_forest_anomaly
2008-02-12,284.65,38888.67,385.01,669.66,1,True
2008-02-13,1869.7,285246.16,7.13,1876.8300000000002,1,False
2008-02-14,3124.09,509954.88,1.16,3125.25,1,False
2008-02-15,2608.28,383426.67,0.97,2609.25,1,False
2008-02-16,3051.8,418474.0,4.89,3056.69,1,False
2008-02-17,2982.63,422763.0,1.85,2984.48,1,False
2008-02-18,2980.52,413831.0,6.48,2987.0,1,False
2008-02-19,3046.19,429218.0,0.73,3046.92,1,False
2008-02-20,3057.18,442982.75,0.46,3057.64,1,False
2008-02-21,3030.33,423809.16,0.45,3030.7799999999997,1,False
2008-02-22,2907.56,397808.0,0.44,2908.0,1,False
2008-02-23,1851.72,252078.0,0.28,1852.0,1,False
2008-02-24,3126.7,442808.0,0.47,3127.1699999999996,1,False
2008-02-25,3045.54,439178.0,0.46,3046.0,1,False
2008-02-26,3046.54,446905.0,0.46,3047.0,1,False
2008-02-27,3035.54,445616.0,0.46,3036.0,1,False
2008-02-28,2971.55,424674.0,0.45,2972.0,1,False
2008-02-29,3070.54,450348.0,0.46,3071.0,1,False
2008-03-01,3068.48,447584.12,0.46,3068.94,1,False
2008-03-02,3066.54,446144.0,0.46,3067.0,1,False
2008-03-03,3043.54,443726.0,0.46,3044.0,1,False
2008-03-04,2983.19,430246.72,0.45,2983.64,1,False
2008-03-05,2967.05,437688.2,0.45,2967.5,1,False
2008-03-06,2950.88,432727.0,1.74,2952.62,1,False
2008-03-07,2656.62,391264.6,1.57,2658.19,1,False
2008-03-08,2578.48,365769.0,1.52,2580.0,1,False
2008-03-09,2996.83,427791.0,1.77,2998.6,1,False
2008-03-10,3021.4,440679.0,0.6,3022.0,1,False
2008-03-11,3010.4,450972.0,0.6,3011.0,1,False
2008-03-12,2794.44,418887.0,0.56,2795.0,1,False
2008-03-13,3058.89,458524.0,0.61,3059.5,1,False
2008-03-14,2964.81,428015.0,0.59,2965.4,1,False
2008-03-15,3131.37,454137.0,0.63,3132.0,1,False
2008-03-16,3135.37,454798.0,0.63,3136.0,1,False
2008-03-17,3143.37,470240.0,0.63,3144.0,1,False
2008-03-18,3132.37,425284.44,0.63,3133.0,1,False
2008-03-19,3139.62,454093.33,0.63,3140.25,1,False
2008-03-20,3156.67,467465.72,0.63,3157.3,1,False
2008-03-21,3192.14,458447.4,0.64,3192.7799999999997,1,False
2008-03-22,3172.12,458028.49,0.63,3172.75,1,False
2008-03-23,3160.26,466335.26,0.63,3160.8900000000003,1,False
2008-03-24,3153.35,468479.65,0.63,3153.98,1,False
2008-03-25,3130.58,406562.1,0.63,3131.21,1,False
2008-03-26,960.26,113341.21,1.64,961.9,1,True
2008-03-28,73.44,48936.44,0.13,73.57,1,True
2008-03-29,3137.26,509074.88,3.39,3140.65,1,False
2008-03-30,1430.95,137396.4,1.55,1432.5,1,True
2008-03-31,1950.58,378532.95,1.93,1952.51,1,False
2008-04-01,3060.6,457837.18,2.82,3063.42,1,False
2008-04-02,3053.67,461808.99,2.81,3056.48,1,False
2008-04-03,3103.12,372985.57,2.86,3105.98,1,False
2008-04-04,3110.68,463717.13,2.86,3113.54,1,False
2008-04-05,3303.3,463529.9,3.04,3306.34,1,False
2008-04-06,3028.41,440906.09,153.36,3181.77,1,False
2008-04-07,2998.8,452369.44,151.86,3150.6600000000003,1,False
2008-04-08,3054.12,451030.48,4.34,3058.46,1,False
2008-04-09,3025.8,463595.31,4.91,3030.71,1,False
2008-04-10,3003.22,468712.0,4.09,3007.31,1,False
2008-04-11,3015.97,458936.65,10.44,3026.41,1,False
2008-04-12,1615.37,242280.01,2.91,1618.28,1,False
2008-04-13,429.77,65731.44,1.73,431.5,1,True
2008-04-14,2578.63,413142.56,3.62,2582.25,1,False
2008-04-15,2494.26,400308.2,3.5,2497.76,1,False
2008-04-16,2847.56,462314.88,3.99,2851.5499999999997,1,False
2008-04-17,1120.57,184080.6,1.1,1121.6699999999998,1,True
2008-04-18,2448.14,372536.86,2.4,2450.54,1,False
2008-04-19,2513.65,383126.44,2.47,2516.12,1,False
2008-04-20,2752.75,418498.59,2.7,2755.45,1,False
2008-04-21,2752.3,426345.05,2.7,2755.0,1,False
2008-04-22,2737.24,422378.97,2.31,2739.5499999999997,1,False
2008-04-23,2735.53,422115.01,-14.19,2721.34,1,False
2008-04-24,2730.33,474459.4,93.87,2824.2,1,True
2008-04-25,2727.65,480456.7,4.22,2731.87,1,False
2008-04-26,2747.01,481822.53,3.81,2750.82,1,False
2008-04-27,1985.59,350826.25,2.76,1988.35,1,False
2008-04-29,546.58,90823.83,4.76,551.34,1,True
2008-04-30,3011.83,459764.68,14.0,3025.83,1,False
2008-05-01,3167.59,471209.85,3.44,3171.03,1,False
2008-05-02,3163.92,486368.03,4.43,3168.35,1,False
2008-05-03,3173.19,474305.4,4.44,3177.63,1,False
2008-05-04,3188.85,493120.0,4.44,3193.29,1,False
2008-05-05,3186.96,491322.97,4.42,3191.38,1,False
2008-05-06,3176.89,489872.38,4.42,3181.31,1,False
2008-05-07,3171.32,489343.07,4.29,3175.61,1,False
2008-05-08,3170.85,488607.46,4.76,3175.61,1,False
2008-05-09,3188.02,489393.88,0.01,3188.03,1,False
2008-05-10,3415.68,524276.14,6.39,3422.0699999999997,1,False
2008-05-11,3701.51,567340.44,7.22,3708.73,1,False
2008-05-12,4002.28,612762.21,7.62,4009.9,1,False
2008-05-13,4253.12,648380.88,8.22,4261.34,1,True
2008-05-14,4279.91,651572.53,8.29,4288.2,1,True
2008-05-15,4439.62,671084.55,8.59,4448.21,1,True
2008-05-16,4582.9,696343.43,8.86,4591.759999999999,1,True
2008-05-17,4677.42,709992.17,9.04,4686.46,1,True
2008-05-18,4688.63,711699.89,9.07,4697.7,1,True
2008-05-19,4687.74,714081.05,9.06,4696.8,1,True
2008-05-20,4885.56,741919.56,9.45,4895.01,1,True
2008-05-21,5013.12,759588.91,9.69,5022.8099999999995,1,True
2008-05-22,5017.55,760577.09,7.7,5025.25,1,True
2008-05-23,5019.23,760297.25,19.71,5038.94,1,True
2008-05-24,5034.28,762332.85,8019.72,13054.0,1,True
2008-05-25,5045.72,764673.62,8019.74,13065.46,1,True
2008-05-26,5053.01,766791.37,19.77,5072.780000000001,1,True
2008-05-27,5065.87,767889.19,29.8,5095.67,1,True
2008-05-28,5072.27,767413.36,10.01,5082.280000000001,1,False
2008-05-29,5086.33,770161.99,10.04,5096.37,1,True
2008-05-30,3869.22,589150.0,7.48,3876.7,1,False
2008-06-01,22.94,11729.2,0.04,22.98,1,True
2008-06-02,4019.51,603534.04,7.77,4027.28,1,False
2008-06-03,4999.75,755898.39,9.67,5009.42,1,False
2008-06-04,5067.01,764495.52,9.8,5076.81,1,False
2008-06-05,5040.47,768018.95,9.75,5050.22,1,True
2008-06-06,5058.13,763388.73,9.78,5067.91,1,False
2008-06-07,5057.56,761308.55,184.78,5242.34,1,True
2008-06-08,5070.12,761089.16,9.8,5079.92,1,False
2008-06-09,5081.36,762129.8,14.83,5096.19,1,True
2008-06-10,5081.78,761130.49,9.83,5091.61,1,False
2008-06-11,5087.06,760260.45,9.84,5096.900000000001,1,False
2008-06-12,5060.12,757005.32,9.78,5069.9,1,False
2008-06-13,5032.29,754387.87,9.73,5042.0199999999995,1,False
2008-06-14,4332.16,651120.47,8.28,4340.44,1,True
2008-06-15,5087.53,763089.71,9.84,5097.37,1,False
2008-06-16,5102.25,764342.55,10.0,5112.25,1,False
2008-06-17,5102.84,756365.89,9.88,5112.72,1,False
2008-06-18,5135.06,765784.34,7.17,5142.2300000000005,1,False
2008-06-19,5140.62,766175.86,8.75,5149.37,1,False
2008-06-20,4721.66,702550.38,9.53,4731.19,1,True
2008-06-21,5037.62,750094.0,15.16,5052.78,1,True
2008-06-22,5147.1,769091.42,11.35,5158.450000000001,1,False
2008-06-23,5114.6,765622.03,10.25,5124.85,1,False
2008-06-24,5123.74,766123.1,11.81,5135.55,1,False
2008-06-25,5135.48,767514.63,11.77,5147.25,1,False
2008-06-26,4232.54,639125.35,9.76,4242.3,1,False
2008-06-27,5126.41,762147.27,11.8,5138.21,1,False
2008-06-28,5075.74,711222.19,11.7,5087.44,1,True
2008-06-29,5121.12,768245.7,11.82,5132.94,1,False
2008-06-30,4372.28,659342.57,10.1,4382.38,1,True
2008-07-01,3980.51,599295.69,9.18,3989.69,1,False
2008-07-02,5114.67,766478.4,0.79,5115.46,1,True
2008-07-03,5083.67,762466.05,15.17,5098.84,1,True
2008-07-04,5080.84,761637.18,4.51,5085.35,1,True
2008-07-05,5086.26,761985.49,11.73,5097.99,1,True
2008-07-06,5087.7,762728.95,15.73,5103.429999999999,1,True
2008-07-07,5094.92,764020.22,12.75,5107.67,1,True
2008-07-08,5095.75,764104.54,36.05,5131.8,1,True
2008-07-09,5094.03,762917.06,11.74,5105.7699999999995,1,False
2008-07-10,4621.52,691133.54,10.65,4632.17,1,True
2008-07-11,2855.54,426766.13,6.58,2862.12,1,False
2008-07-12,686.84,151768.25,1.58,688.4200000000001,1,True
2008-07-13,5904.64,858289.13,13.61,5918.25,2,False
2008-07-14,4411.16,662383.83,10.170000000000002,4421.33,2,False
2008-07-15,6836.92,1009216.13,15.76,6852.68,2,False
2008-07-16,6557.63,969003.9,19.76,6577.39,2,False
2008-07-17,6629.63,956946.01,15.280000000000001,6644.91,2,False
2008-07-18,5995.91,885046.0,23.82,6019.73,2,False
2008-07-19,5950.66,902696.03,13.72,5964.380000000001,2,False
2008-07-20,5977.040000000001,875387.74,13.77,5990.81,2,False
2008-07-21,5925.65,868833.02,13.66,5939.31,2,False
2008-07-22,5884.08,864433.0,13.96,5898.04,2,False
2008-07-23,5894.47,866873.5700000001,13.71,5908.18,2,False
2008-07-24,5911.48,884414.1499999999,13.7,5925.18,2,False
2008-07-25,5926.969999999999,863048.79,13.78,5940.75,2,False
2008-07-26,5904.41,866618.47,13.68,5918.09,2,False
2008-07-27,5909.64,865453.0800000001,13.59,5923.2300000000005,2,False
2008-07-28,5905.84,866166.69,13.559999999999999,5919.4,2,False
2008-07-29,6016.82,881439.29,19.880000000000003,6036.700000000001,2,False
2008-07-30,5987.7,874781.64,13.8,6001.5,2,False
2008-07-31,5866.79,858970.88,10.52,5877.3099999999995,2,False
2008-08-01,6095.34,894413.88,9.77,6105.110000000001,2,False
2008-08-02,6089.46,894571.3400000001,8.54,6098.0,2,False
2008-08-03,6104.92,894381.3,9.17,6114.09,2,False
2008-08-04,6112.610000000001,893295.27,9.18,6121.79,2,False
2008-08-05,6134.42,895492.6200000001,9.219999999999999,6143.639999999999,2,False
2008-08-06,1831.1799999999998,269325.75,2.75,1833.9299999999998,2,False
2008-08-08,1533.2,210148.12,2.3,1535.5,2,False
2008-08-09,7881.25,1085545.73,11.71,7892.96,2,False
2008-08-10,8498.16,1178432.52,12.85,8511.01,2,False
2008-08-11,8530.49,1182739.74,12.780000000000001,8543.27,2,False
2008-08-12,8544.81,1191856.78,12.84,8557.65,2,False
2008-08-13,8390.12,1170766.2799999998,16.04,8406.16,2,False
2008-08-14,8029.870000000001,1201309.83,50.49,8080.360000000001,2,False
2008-08-15,8102.120000000001,1212947.81,86.39,8188.51,2,False
2008-08-16,9058.32,1321742.04,79.11,9137.43,2,False
2008-08-17,9166.8,1339211.4,90.81,9257.61,2,False
